id,date,number_of_shots,city_id,county_id,fatality,injury,suspect_mentally_ill
581,8/9/2013,38,79,,1,0,t
907,12/31/2014,,29,,1,0,f
832,10/22/2011,4,128,,0,1,f
908,12/26/2014,,92,,1,0,f
122,9/11/2010,2,226,,1,0,f
880,10/30/2010,1,128,,0,1,f
978,10/27/2014,,46,,1,0,t
43,12/18/2013,6,84,,0,1,f
132,6/11/2011,1,128,,0,1,f
970,5/8/2013,,29,,1,0,f
307,6/11/2011,1,266,,1,0,f
914,8/12/2013,,152,,1,0,t
477,9/22/2011,,195,,0,1,f
859,5/9/2012,7,182,,1,0,f
221,4/27/2009,14,45,,0,1,f
924,5/12/2014,,195,,1,1,f
685,1/18/2009,,29,,1,0,f
336,4/29/2010,,24,,0,1,f
55,8/5/2009,1,197,,1,0,f
454,2/19/2012,,284,,0,1,t
112,8/5/2009,,124,,0,1,t
853,3/7/2013,8,182,,1,0,f
953,11/14/2009,,29,,1,0,f
366,9/4/2011,,24,,0,1,f
396,11/17/2010,2,105,,0,1,f
852,5/15/2013,3,182,,0,2,f
802,6/2/2009,,182,,1,0,f
1070,4/18/2011,,97,,1,0,f
1050,5/19/2010,,24,,1,0,t
782,2/5/2009,4,182,,1,0,f
1069,12/8/2013,,29,,1,0,f
90,12/16/2010,4,134,,1,1,f
318,12/13/2012,3,267,,0,1,t
1066,8/21/2011,3,29,,1,0,f
883,6/15/2014,6,28,,1,0,t
708,10/4/2011,,239,,1,0,t
312,3/10/2012,6,267,,1,0,t
233,9/27/2011,8,253,,0,1,f
319,11/10/2010,,267,,1,0,f
932,11/17/2013,,137,,1,0,f
884,12/4/2014,6,128,,1,0,t
957,6/18/2009,,29,,1,0,f
1065,8/12/2011,,29,,1,0,t
1064,12/3/2011,,29,,1,0,t
71,7/21/2011,15,128,,1,0,f
1061,11/25/2012,,408,,1,1,f
1060,11/27/2012,3,29,,1,0,f
129,4/20/2014,5,119,,0,1,f
455,11/21/2010,5,128,,0,1,f
931,11/18/2013,7,53,,1,0,t
1058,12/6/2011,,,49,1,1,f
933,5/17/2012,2,29,,1,0,f
905,11/11/2014,1,10,,1,0,t
106,11/6/2010,3,58,,0,1,f
973,1/1/2009,,29,,0,1,f
1096,6/25/2012,,46,,0,1,f
465,7/13/2010,1,128,,0,1,f
794,12/8/2014,3,128,,0,1,f
489,6/16/2010,15,189,,1,0,f
625,7/22/2012,,24,,1,0,t
192,7/8/2010,1,245,,1,0,f
298,2/10/2009,3,130,,0,1,t
242,7/11/2012,4,147,,1,0,t
672,3/7/2012,3,319,,1,0,f
533,1/24/2009,4,153,,0,1,f
683,2/28/2012,3,102,,1,0,t
425,1/15/2013,12,128,,0,1,f
216,6/13/2011,5,228,,1,0,f
1139,7/19/2011,1,101,,0,1,f
968,6/29/2013,,29,,1,0,f
1093,9/6/2010,,395,,0,2,f
520,11/23/2009,2,36,,1,0,t
632,6/25/2011,21,4,,1,0,f
971,5/4/2013,,29,,1,0,f
108,6/23/2011,2,58,,1,0,f
989,3/4/2014,,29,,1,0,t
906,11/3/2014,,23,,1,0,f
639,1/22/2011,,24,,1,0,t
1086,12/23/2011,1,124,,0,1,f
1055,10/27/2013,,46,,1,0,
352,1/20/2012,1,198,,0,1,f
671,3/15/2011,15,35,,1,0,f
1078,1/22/2012,6,239,,0,2,f
1140,1/3/2013,,46,,0,1,f
934,6/7/2012,2,53,,1,0,f
103,12/15/2012,11,221,,1,0,t
492,3/30/2010,,94,,0,1,f
745,6/8/2013,1,26,,1,0,f
57,10/28/2013,4,24,,0,1,t
389,7/3/2009,,111,,0,1,f
499,4/22/2013,,98,,1,0,f
668,2/25/2009,0,31,,0,1,t
996,3/5/2012,,157,,1,0,f
209,9/27/2010,13,45,,1,0,t
204,2/21/2013,1,151,,0,1,f
1054,9/7/2010,9,178,,1,0,f
680,10/6/2009,,62,,0,1,f
939,8/21/2012,4,124,,1,0,f
950,1/1/2011,,29,,1,0,f
785,4/18/2011,4,182,,0,1,f
1072,10/14/2011,,29,,1,0,f
238,11/4/2009,4,198,,0,1,t
1052,7/9/2014,2,415,,1,1,f
788,5/15/2009,,58,,1,0,t
1092,1/9/2010,1,178,,0,1,f
50,11/20/2013,,356,,1,0,t
310,10/17/2009,1,268,,1,0,t
217,12/27/2011,,115,,1,0,f
327,10/20/2009,40,113,,0,1,f
980,10/12/2014,,24,,1,0,f
1048,7/14/2010,5,407,,1,0,t
202,4/14/2012,25,151,,1,0,f
936,6/4/2012,,54,,1,0,f
1039,11/23/2013,,383,,0,1,f
1099,9/10/2012,15,8,,0,1,f
937,5/16/2012,4,369,,1,0,f
949,5/13/2011,,23,,1,0,t
913,1/9/2013,,35,,1,0,t
866,6/1/2009,10,128,,0,3,f
1130,11/2/2014,,29,,0,1,f
94,1/28/2012,1,218,,1,0,f
885,6/16/2009,1,139,,0,1,f
250,3/3/2014,,58,,1,0,t
714,7/30/2010,,29,,0,1,f
886,3/3/2013,,198,,1,0,t
32,5/28/2009,3,151,,1,0,t
201,1/30/2011,22,37,,1,0,f
660,1/13/2013,13,34,,1,0,t
876,2/17/2010,19,128,,1,0,f
1041,5/3/2014,4,117,,0,1,f
1038,4/20/2013,2,157,,1,0,f
1129,6/1/2014,,97,,0,1,f
140,9/7/2012,,109,,0,1,f
705,5/15/2010,,185,,0,1,f
101,4/27/2014,5,105,,0,1,f
1011,10/2/2009,2,157,,1,0,f
648,11/5/2010,13,80,,1,0,f
737,3/19/2011,1,195,,0,1,f
498,10/24/2009,4,133,,1,0,f
1002,1/18/2009,,120,,0,2,f
847,4/7/2014,14,182,,0,1,f
960,12/10/2013,,29,,2,0,f
943,9/21/2012,,109,,1,0,f
111,6/10/2013,30,128,,1,0,t
1008,3/20/2009,,117,,1,0,f
136,11/28/2010,3,30,,1,0,t
1037,7/31/2013,,157,,0,1,f
141,1/14/2014,4,106,,1,0,f
67,1/29/2010,,214,,1,0,t
293,3/16/2012,,110,,1,0,f
276,6/7/2013,2,215,,1,0,f
801,12/27/2010,,182,,1,0,f
715,7/28/2010,0,144,,0,1,f
1076,9/26/2011,4,256,,1,0,f
944,8/27/2013,,47,,1,1,f
881,11/7/2010,1,128,,1,0,f
1108,12/13/2013,,99,,0,1,t
1028,4/24/2011,1,139,,0,1,t
1020,9/9/2010,,53,,1,0,f
1005,3/3/2009,7,90,,1,0,t
1014,7/6/2009,1,29,,1,0,f
1023,3/23/2010,3,139,,1,0,t
1015,11/13/2009,1,82,,0,1,f
840,12/24/2014,8,182,,0,1,f
896,8/23/2014,9,157,,1,0,f
92,4/1/2012,5,171,,0,1,t
66,7/31/2010,7,213,,1,0,f
821,9/24/2009,,182,,1,0,f
1047,10/10/2011,1,124,,1,0,
504,4/16/2010,2,16,,1,0,f
1032,12/13/2012,5,157,,1,0,f
364,5/27/2014,,24,,1,0,f
505,8/19/2010,6,113,,0,1,f
854,2/19/2013,11,182,,1,0,f
699,2/7/2013,,106,,0,2,f
240,4/28/2013,3,105,,1,0,t
340,9/14/2010,2,24,,0,1,f
475,1/31/2013,,195,,0,1,f
1045,4/11/2010,,387,,2,0,t
696,3/8/2012,6,83,,0,1,f
48,1/20/2014,4,208,,1,0,t
52,7/19/2012,9,207,,1,0,t
946,11/2/2012,,309,,1,0,f
897,9/30/2014,,206,,1,0,t
1116,8/6/2013,,84,,0,1,t
165,1/2/2013,,193,,1,0,f
247,6/28/2012,,294,,1,0,f
1026,10/25/2011,,117,,1,0,t
899,9/20/2014,4,71,,1,0,f
283,4/24/2014,,227,,0,1,f
365,10/17/2013,,256,,1,0,f
1083,7/17/2009,,109,,0,1,t
254,11/26/2010,3,105,,0,1,f
145,10/29/2010,,124,,0,2,
1025,11/1/2011,,117,,0,1,f
1068,6/8/2011,,29,,1,0,f
902,11/20/2014,,195,,1,0,t
353,6/6/2009,,198,,0,1,f
951,8/11/2010,,29,,1,0,f
1111,2/11/2013,,162,,0,1,f
1088,8/20/2009,1,124,,0,1,f
272,9/30/2009,1,113,,0,1,f
1021,7/20/2010,,125,,0,1,t
1128,6/2/2014,4,267,,0,1,f
135,5/16/2014,,45,,1,0,t
955,8/14/2010,39,29,,1,0,f
248,5/24/2013,29,37,,0,1,f
1016,7/13/2009,5,29,,1,0,f
1062,10/2/2012,,29,,1,0,f
947,10/10/2011,,29,,1,0,f
392,3/8/2013,,105,,0,1,f
909,12/22/2014,31,31,,1,0,t
1127,5/16/2014,,29,,0,1,f
703,9/14/2010,,328,,1,0,t
1112,4/14/2013,,29,,0,1,f
1013,4/27/2011,3,29,,0,1,f
972,8/24/2012,,29,,0,2,f
762,10/11/2013,10,31,,0,1,f
143,8/8/2010,2,50,,0,1,f
688,4/14/2010,2,144,,0,1,f
918,5/26/2012,5,29,,1,0,t
515,1/12/2009,2,,34,1,0,t
1094,4/4/2009,,92,,0,1,f
1126,4/15/2009,1,109,,0,1,f
954,7/5/2010,1,29,,1,0,f
152,1/12/2011,,124,,0,1,f
91,5/28/2011,,217,,0,1,t
584,4/25/2011,,270,,0,1,t
952,8/20/2010,,29,,1,0,f
471,6/14/2009,,77,,1,0,f
911,12/11/2014,,13,,1,0,t
49,1/4/2010,5,86,,1,0,t
393,11/6/2012,,105,,1,0,f
1044,9/30/2010,,385,,1,0,f
956,2/10/2011,3,29,,1,1,f
1120,9/23/2013,,29,,0,1,f
721,2/17/2011,22,79,,1,0,f
843,7/1/2014,7,182,,1,0,t
54,5/4/2011,3,208,,0,1,f
940,8/14/2012,,29,,1,0,f
521,10/22/2013,2,36,,1,0,t
711,6/14/2009,2,160,,1,0,t
805,6/12/2009,3,182,,0,1,f
244,3/19/2014,,255,,0,1,f
1004,1/25/2009,5,157,,1,0,f
561,10/22/2012,1,304,,0,1,f
163,10/28/2009,39,238,,1,0,t
182,4/18/2009,,151,,1,0,f
404,4/14/2011,3,281,,1,0,f
572,1/16/2010,9,195,,0,1,f
915,4/7/2014,1,157,,1,0,t
982,9/27/2014,,121,,1,0,f
405,7/18/2010,,225,,1,0,t
1057,2/18/2012,,46,,1,0,t
986,5/21/2014,,128,,1,0,f
681,7/2/2009,3,58,,0,1,t
919,3/13/2013,,29,,1,0,f
647,1/20/2010,8,84,,1,0,f
178,7/27/2013,15,242,,0,1,f
1018,4/9/2010,4,157,,1,0,f
1077,10/21/2013,5,239,,0,2,f
395,1/24/2011,,105,,1,0,f
98,4/11/2010,,92,,1,0,t
172,6/28/2011,,209,,1,0,f
677,8/27/2013,3,310,,0,1,f
1012,10/5/2011,11,86,,0,1,f
526,2/13/2013,,189,,1,0,t
965,7/31/2013,3,47,,1,0,f
1010,7/18/2009,,179,,0,1,
1125,4/13/2014,,29,,0,1,f
164,6/28/2012,3,400,,1,0,f
297,10/26/2011,4,261,,0,1,f
273,3/11/2009,,105,,0,1,f
529,9/4/2009,4,300,,1,0,f
1031,3/14/2011,1,383,,0,1,f
941,8/9/2012,,121,,1,0,f
1082,9/1/2009,,23,,0,1,t
1007,3/9/2009,6,,41,1,0,f
734,1/7/2014,2,25,,1,0,t
264,3/10/2009,,258,,0,1,f
89,3/15/2012,9,31,,1,0,f
997,4/6/2012,,13,,1,0,f
241,7/18/2012,5,26,,1,0,f
974,12/29/2014,18,151,,1,0,f
879,4/15/2010,,119,,0,1,f
1080,3/17/2009,,,30,0,1,f
325,2/5/2010,,24,,0,1,f
223,3/2/2009,8,45,,1,0,t
1006,3/9/2009,,157,,1,1,f
729,9/26/2012,2,24,,1,0,t
85,11/26/2013,3,128,,1,0,f
993,8/12/2014,1,120,,0,1,f
1079,4/21/2009,3,24,,0,1,t
234,12/23/2012,6,45,,0,1,t
58,5/7/2013,4,25,,1,0,f
1067,9/22/2010,,29,,1,0,f
786,2/8/2009,1,182,,1,0,f
84,9/28/2009,,231,,1,0,f
629,11/3/2010,5,83,,0,1,f
149,12/16/2012,,45,,1,0,f
992,5/8/2013,10,18,,0,1,t
781,2/5/2009,,182,,1,0,f
154,8/2/2010,,232,,1,0,f
218,12/11/2013,,151,,1,0,f
622,7/27/2010,1,220,,0,1,f
1121,11/18/2013,7,128,,0,1,f
511,1/8/2009,13,159,,1,0,f
1144,10/5/2011,,46,,0,2,f
689,1/22/2014,1,126,,0,1,t
599,12/3/2010,5,83,,1,0,f
991,2/4/2014,2,90,,1,0,t
775,1/4/2009,,182,,0,1,f
360,10/20/2012,,232,,1,0,t
736,4/5/2011,,29,,1,0,f
920,3/29/2014,5,125,,0,1,f
988,3/11/2014,7,,32,1,0,f
713,7/23/2012,,29,,1,0,f
766,12/19/2012,16,106,,1,0,f
1119,9/19/2013,5,83,,0,1,f
224,8/13/2014,9,342,,1,0,t
1106,9/23/2014,,308,,0,1,f
926,1/8/2013,9,117,,1,0,
228,1/5/2014,31,113,,1,0,f
399,2/10/2009,,105,,1,0,f
583,4/8/2009,,308,,1,0,f
1097,4/29/2012,,256,,0,1,f
397,12/26/2009,5,105,,1,0,f
927,1/9/2013,,24,,1,0,f
1115,6/15/2013,,29,,1,0,f
582,4/18/2009,,150,,0,2,f
59,2/23/2012,4,211,,0,1,t
251,7/25/2011,,209,,0,1,t
825,4/20/2011,,128,,0,1,f
1022,6/8/2010,,125,,0,1,f
657,2/4/2009,,29,,1,1,f
1109,1/17/2013,,29,,0,1,f
27,10/20/2013,8,125,,1,0,f
1107,7/26/2014,9,190,,0,1,f
431,2/19/2012,,128,,0,1,f
51,4/1/2013,2,86,,1,0,t
686,8/4/2012,4,92,,0,1,f
575,8/21/2012,3,235,,1,0,f
687,4/1/2011,1,149,,0,1,t
1104,12/2/2014,3,96,,0,1,f
772,10/10/2010,6,18,,0,1,f
1141,2/8/2013,1,46,,0,1,f
439,7/11/2011,,128,,0,1,f
928,7/27/2013,,46,,1,0,t
118,1/4/2013,,178,,1,0,f
817,1/13/2012,2,128,,1,0,f
167,4/20/2012,3,124,,0,1,f
979,10/24/2014,,149,,1,0,
42,6/14/2012,,206,,0,1,f
44,12/30/2010,1,86,,1,0,t
930,10/18/2013,,53,,0,1,f
690,7/8/2009,3,83,,0,1,t
350,7/22/2012,,24,,1,0,f
571,4/13/2011,2,270,,0,1,t
691,10/20/2011,,220,,0,1,f
1103,6/10/2014,7,31,,0,1,t
860,4/5/2012,4,182,,1,0,f
601,7/1/2014,4,166,,1,0,f
716,3/13/2014,1,186,,0,1,f
1053,9/29/2011,8,178,,1,0,f
692,11/20/2011,1,84,,0,1,f
938,7/15/2012,,29,,1,0,f
442,5/6/2011,3,128,,0,1,f
870,6/17/2009,12,128,,1,0,f
804,12/21/2010,8,182,,0,1,f
326,4/20/2010,,24,,0,1,f
230,4/29/2011,15,206,,1,0,t
447,4/23/2011,,128,,0,1,f
1137,7/16/2011,,58,,0,1,f
693,12/30/2010,4,47,,0,1,f
361,9/6/2013,,,11,1,0,f
362,1/9/2014,2,24,,0,1,t
174,1/27/2013,13,124,,1,0,f
261,12/24/2013,,115,,0,1,f
942,8/28/2012,,300,,1,0,f
728,2/27/2013,2,232,,0,1,t
981,10/20/2014,2,171,,1,0,f
591,1/10/2012,15,83,,1,0,f
669,1/8/2011,17,,2,1,0,f
181,5/10/2014,3,124,,0,1,f
487,9/18/2013,1,228,,1,0,f
964,10/26/2013,12,157,,1,0,f
208,9/7/2013,58,105,,1,0,t
1036,8/17/2013,4,53,,0,1,t
